Anzahl Profilkoordinaten
       205
Airfoil
  1.8877571577477180E-01 -2.4624275619701663E-02
  1.9843671844786540E-01 -2.4260038651104564E-02
  2.0823266957576517E-01 -2.3858020132918130E-02
  2.1816551147067742E-01 -2.3421008047810930E-02
  2.2823724892668143E-01 -2.2951968012477474E-02
  2.3844987260594280E-01 -2.2452435912307950E-02
  2.4880533811291583E-01 -2.1922460456068080E-02
  2.5930566663138600E-01 -2.1362734358634210E-02
  2.6995303784620983E-01 -2.0776157188063187E-02
  2.8074979125891750E-01 -2.0167659823407708E-02
  2.9169820865855867E-01 -1.9540263870058448E-02
  3.0280043707761350E-01 -1.8894026284072926E-02
  3.1405862721641054E-01 -1.8228509073492700E-02
  3.2547515070685780E-01 -1.7546482778394722E-02
  3.3705257096070224E-01 -1.6853280764139035E-02
  3.4879347314694290E-01 -1.6154044856809588E-02
  3.6070035017485425E-01 -1.5451878541077041E-02
  3.7277558284657950E-01 -1.4747498421545631E-02
  3.8502169926022530E-01 -1.4043628488762956E-02
  3.9744141836801616E-01 -1.3345902619409915E-02
  4.1003754206944170E-01 -1.2661314761115585E-02
  4.2281259171044905E-01 -1.1991412157709814E-02
  4.3576892325036837E-01 -1.1334094749759289E-02
  4.4890897810214670E-01 -1.0687901969091484E-02
  4.6223539875773110E-01 -1.0054792756043856E-02
  4.7575089011605026E-01 -9.4373767947391700E-03
  4.8945805595225716E-01 -8.8355254958299730E-03
  5.0335947757137070E-01 -8.2475386006742970E-03
  5.1706845969157340E-01 -7.6885823648915360E-03
  5.3058772395875850E-01 -7.1602011430433165E-03
  5.4391989570608900E-01 -6.6626904671250050E-03
  5.5706747049713300E-01 -6.1938007636495590E-03
  5.7003283226694670E-01 -5.7488476335928490E-03
  5.8281843867103100E-01 -5.3259025435167620E-03
  5.9542678297778410E-01 -4.9250826404353200E-03
  6.0786033333275150E-01 -4.5468860600876890E-03
  6.2012142473345420E-01 -4.1884965306104430E-03
  6.3221236407813270E-01 -3.8470568954122467E-03
  6.4413546584070840E-01 -3.5208561433564232E-03
  6.5589303751646600E-01 -3.2090313287524610E-03
  6.6748737874396970E-01 -2.9116404618754533E-03
  6.7892075598761960E-01 -2.6286894244880936E-03
  6.9019538338021560E-01 -2.3593672703224680E-03
  7.0131345217077230E-01 -2.1031436434118950E-03
  7.1227712999244150E-01 -1.8597702825959173E-03
  7.2308855508827950E-01 -1.6290347679703654E-03
  7.3374982817444860E-01 -1.4103556656854964E-03
  7.4426300665183500E-01 -1.2023871279463775E-03
  7.5463011743292500E-01 -1.0035828105574900E-03
  7.6485317025716560E-01 -8.1287077346877020E-04
  7.7493416547953780E-01 -6.3013293934117640E-04
  7.8487507926144320E-01 -4.5546989844615164E-04
  7.9467785550129930E-01 -2.8870784293476220E-04
  8.0434441607778140E-01 -1.2999544052020489E-04
  8.1387667530313160E-01  1.9289962123753376E-05
  8.2327651869991240E-01  1.5768675249135155E-04
  8.3254579409006980E-01  2.8425785130320920E-04
  8.4168631141723380E-01  3.9877883008006113E-04
  8.5069985102174110E-01  5.0126798086242250E-04
  8.5958817495222630E-01  5.9106672912202760E-04
  8.6835302232301350E-01  6.6691947361408520E-04
  8.7699609799215320E-01  7.2814453219735890E-04
  8.8551907600092950E-01  7.7451993651027840E-04
  8.9392360570500870E-01  8.0560302235429020E-04
  9.0221131038201950E-01  8.2053067037200530E-04
  9.1038378428955360E-01  8.1949503039043650E-04
  9.1844260724448380E-01  8.0713243165706840E-04
  9.2638935912072560E-01  7.8953898599122270E-04
  9.3422560822621860E-01  7.7249132342216540E-04
  9.4195290124285190E-01  7.5971877253770360E-04
  9.4957274634685340E-01  7.5520811984132910E-04
  9.5708664645959300E-01  7.6466568117952460E-04
  9.6449600608123350E-01  7.8086717909286840E-04
  9.7180245850805750E-01  7.8680183533615400E-04
  9.7900703153238920E-01  7.5486630686037300E-04
  9.8611150459379260E-01  6.8640090012189230E-04
  9.9311630201913000E-01  5.8338805804323220E-04
  1.0000000000000000E+00  0.0000000000000000E+00
